,timeStamp,total,avai,percent,used,free
0,2019-04-28 11:23:30,4055.117MB,476.184MB,88.3%,3578.934MB,476.184MB
1,2019-04-28 11:23:31,4055.117MB,477.57MB,88.2%,3577.547MB,477.57MB
2,2019-04-28 11:23:32,4055.117MB,482.852MB,88.1%,3572.266MB,482.852MB
3,2019-04-28 11:23:33,4055.117MB,482.863MB,88.1%,3572.254MB,482.863MB
4,2019-04-28 11:23:34,4055.117MB,482.953MB,88.1%,3572.164MB,482.953MB
5,2019-04-28 11:23:35,4055.117MB,478.961MB,88.2%,3576.156MB,478.961MB
6,2019-04-28 11:23:36,4055.117MB,482.68MB,88.1%,3572.438MB,482.68MB
7,2019-04-28 11:23:37,4055.117MB,482.711MB,88.1%,3572.406MB,482.711MB
8,2019-04-28 11:23:38,4055.117MB,450.996MB,88.9%,3604.121MB,450.996MB
9,2019-04-28 11:23:39,4055.117MB,479.746MB,88.2%,3575.371MB,479.746MB
10,2019-04-28 11:23:40,4055.117MB,475.465MB,88.3%,3579.652MB,475.465MB
11,2019-04-28 11:23:41,4055.117MB,481.199MB,88.1%,3573.918MB,481.199MB
12,2019-04-28 11:23:42,4055.117MB,484.379MB,88.1%,3570.738MB,484.379MB
13,2019-04-28 11:23:43,4055.117MB,480.582MB,88.1%,3574.535MB,480.582MB
14,2019-04-28 11:23:44,4055.117MB,478.711MB,88.2%,3576.406MB,478.711MB
15,2019-04-28 11:23:45,4055.117MB,456.363MB,88.7%,3598.754MB,456.363MB
16,2019-04-28 11:23:46,4055.117MB,458.105MB,88.7%,3597.012MB,458.105MB
17,2019-04-28 11:23:47,4055.117MB,458.332MB,88.7%,3596.785MB,458.332MB
18,2019-04-28 11:23:48,4055.117MB,467.586MB,88.5%,3587.531MB,467.586MB
19,2019-04-28 11:23:49,4055.117MB,476.168MB,88.3%,3578.949MB,476.168MB
